12070,11950,AMUAY (BAHIA DE AMUAY),VE,11.75,-70.23333333
18040,16000,ANACORTES,US,48.51666667,-122.6166667
44180,44030,ANAPA,RU,44.88333333,37.31666667
19800,19080,ANCHORAGE,US,61.21666667,-149.9
40660,40390,ANCONA,IT,43.61666667,13.5
23111,20620,ANDALSNES,NO,62.56666667,7.683333333
21660,20620,ANDENES,NO,69.33333333,16.13333333
63120,63060,ANDERSEN HARBOR,AQ,-64.31666667,-62.93333333
47360,47350,ANDOANY,MG,-13.4,48.3
11035,10950,ANDRES (ANDRES LNG TERMINAL),DO,18.43333333,-69.63333333
42890,42870,ANDROS,GR,37.83333333,24.95
38090,38060,ANGRA DO HEROISMO,PT,38.65,-27.21666667
12940,12700,ANGRA DOS REIS,BR,-23.01666667,-44.31666667
60030,59850,ANKINGCHENG,CN,30.51666667,117.0333333
45490,45470,ANNABA,DZ,36.91666667,7.766666667
8225,6585,ANNAPOLIS,US,38.98333333,-76.48333333
11718,11705,ANSE TEMBLADORA,TT,10.68333333,-61.58333333
44820,44360,ANTALYA,TR,36.83333333,30.61666667
44808,44360,ANTALYA OFFSHORE TERMINAL,TR,36.81666667,30.6
46225,46120,ANTAN OIL TERMINAL,NG,4.216666667,8.333333333
38980,38710,ANTIBES,FR,43.58333333,7.133333333
10230,10030,ANTILLA,CU,20.83333333,-75.73333333
16515,16000,ANTIOCH,US,38.01666667,-121.8
14660,14070,ANTOFAGASTA,CL,-23.65,-70.41666667
47630,47350,ANTSIRANANA,MG,-12.26666667,49.28333333
47625,47350,ANTSOHIM BONDRONA,MG,-13.08333333,48.83333333
31250,31240,ANTWERPEN,BE,51.21666667,4.4
50930,50920,ANYER LOR,ID,-6.05,105.9166667
39830,39730,ANZIO,IT,41.45,12.63333333
62340,61100,AOKATA,JP,32.98333333,129.0666667
61270,61100,AOMORI KO,JP,40.83333333,140.75
8730,8650,APALACHICOLA,US,29.71666667,-84.98333333
58000,57960,APARRI,PH,18.36666667,121.6333333
55670,55665,APIA,WS,-13.81666667,-171.7666667
56550,56545,APRA HARBOR,GU,13.45,144.6166667
12772,12700,ARATU,BR,-12.78333333,-38.5
39190,39130,ARBATAX,IT,39.93333333,9.7
23136,20620,ARDALSTANGEN,NO,61.23333333,7.716666667
33690,33630,ARDGLASS,GB,54.26666667,-5.616666667
50340,50020,ARDJUNA OIL FIELD,ID,-5.883333333,107.7166667
33340,32790,ARDRISHAIG,GB,56.01666667,-5.45
33530,32790,ARDROSSAN,GB,55.65,-4.816666667
54236,53290,ARDROSSAN,AU,-34.43333333,137.9166667
11100,11080,ARECIBO,PR,18.48333333,-66.7
23600,20620,ARENDAL,NO,58.46666667,8.766666667
1710,1680,ARGENTIA,CA,47.3,-53.98333333
41790,41710,ARGOSTOLION,GR,38.18333333,20.51666667
30260,30020,ARHUS,DK,56.15,10.21666667
62800,62530,ARKHANGELS'K,RU,64.53333333,40.53333333
38190,38140,ARRECIFE,ES,28.95,-13.53333333
11230,11080,ARROYO,PR,17.96666667,-66.06666667
45630,45470,ARZEW,DZ,35.85,-0.3
45635,45470,ARZEW EL DJEDID,DZ,35.81666667,-0.25
