42640,AEGEAN ISLANDS
42870,KIKLADHES
43080,KRITI
43180,DHODHEKANISOS
43325,TURKEY EUROPE
43460,BULGARIA
43540,ROMANIA
43620,UKRAINE
44030,RUSSIA
44275,GEORGIA
44360,TURKEY ASIA
44890,CYPRUS
45000,SYRIA
45020,LEBANON
45060,ISRAEL
45120,EGYPT MEDITERRANEAN
45200,LIBYA
45360,TUNISIA
45470,ALGERIA
45750,MOROCCO
45805,SPANISH SAHARA
45810,MAURITANIA
45817,SENEGAL
45824,GAMBIA
45833,GUINEA BISSAU
45842,GUINEA
45860,SIERRA LEONE
45869,CAPE VERDE
45920,LIBERIA
45960,IVORY COAST
46010,GHANA
46080,TOGO
46100,BENIN
46120,NIGERIA
46250,CAMEROON
46300,EQUATORIAL GUINEA
46370,SAO TOME AND PRINCIPE
46410,GABON
46455,CONGO
46478,ANGOLA
46500,CONGO
46540,ANGOLA
46635,NAMIBIA
46655,ST HELENA
46660,ASCENSION
46700,TRISTAN ISLAND
46715,SOUTH AFRICA
46725,SOUTH AFRICA
46860,MOZAMBIQUE
46965,TANZANIA
47090,KENYA
47120,SOMALIA
47210,SEYCHELLES
47295,COMOROS
47350,MADAGASCAR
47670,REUNION
47710,MAURITIUS
47740,RODRIGUES
47755,BRITISH IND OCEAN TER
47760,CHAGOS ARCHIPELAGO
47810,SOMALIA
47840,DJIBOUTI
47870,ERITREA
47910,SUDAN
47950,EGYPT RED SEA
48075,ISRAEL
48080,JORDAN
48100,SAUDI ARABIA
48143,YEMEN ADEN
48195,YEMEN SANAA
48225,OMAN
48260,UNITED ARAB EMIRATES
48285,QATAR
48305,BAHRAIN
48330,SAUDI ARABIA CONTINUED
48350,KUWAIT
48375,IRAQ
48410,IRAN
48580,PAKISTAN
48610,INDIA WEST COAST
49190,MALDIVE ISLANDS
49210,SRI LANKA
49310,INDIA EAST COAST
49570,BANGLADESH
49610,BURMA (MYANMAR)
49705,INDIA
49710,ANDAMAN ISLANDS
49730,NICOBAR ISLANDS
49760,THAILAND
49820,MALAYSIA
49990,SINGAPORE
50020,INDONESIA
50515,SUMATERA
50840,KEPULAUAN BATU
50855,PULAU NIAS
50880,COCOS ISLANDS
50900,CHRISTMAS ISLAND
50915,INDONESIA
50920,JAWA
51250,LESSER SUNDA ISLANDS
51430,EAST TIMOR
51460,KEPULAUAN TAMBELAN
51480,KEPULAUAN ANAMBAS
51510,KEPULAUAN NATUNA
51540,KEPULAUAN NATUNA BESA
51548,MALAYSIA
51550,SARAWAK
51610,BRUNEI
51647,MALAYSIA
51650,SABAH
51760,INDONESIA - BORNEO
51970,SULAWESI
52370,KEPULAUAN SULA
52400,KEPULAUAN SANGIHE
52470,KEPULAUAN TALAUD
52500,PULAU TERNATE
52520,PULAU BATCAN
52530,KEPULAUAN OBI
52540,HALMAHERA
52620,MOROTAI
52650,SERAM
52735,BURU
52770,KEPULAUAN BANDA
52790,KEPULAUAN KAI
52820,KEPULAUAN ARU
52850,KEPULAUAN TANIMBAR
52900,NEW GUINEA WEST COAST - IRIAN JAYA
53135,PAPUA NEW GUINEA
53140,NEW GUINEA SE COAST
53210,NEW GUINEA NE COAST
53290,AUSTRALIA
54700,TASMANIA
54990,NEW ZEALAND N ISLAND
55260,NEW ZEALAND S ISLAND
55460,CHATHAM ISLAND
55490,NORFOLK ISLAND
55510,FIJI
55575,TONGA
55615,TUVALU
55619,WALLIS AND FUTUNA
55620,ILES DE HORNE
55640,ILES WALLIS
55660,SAMOA ISLANDS
55665,SOMOA WESTERN
55675,AMERICAN SAMOA
55685,NIUE
55700,COOK ISLANDS
55755,FRENCH POLYNESIA
55765,SOCIETY ISLANDS
55845,ILES AUSTRALES
55855,RAPA ISLAND
55860,ILES TUAMOTU
56000,ILES MARQUISES
56019,KIRIBATI (PHOENIX) ISLANDS
56030,CHRISTMAS ATOLL
56037,TABUAERAN ATOLL (FANNING ISLAND)
56045,UNITED STATES
56050,HAWAIIAN ISLANDS
56324,JOHNSTON ATOLL
56327,MIDWAY ISLANDS
56329,WAKE ISLAND
56340,MARSHALL ISLANDS
56425,KIRIBATI
56430,GILBERT ISLANDS
56495,NAURU
56515,NORTHERN MARIANA IS
56545,GUAM
56555,FEDERATED STATES OF MICRONESIA
56560,CAROLINE ISLANDS
56695,PAPUA NEW GUINEA
56700,BISMARCK ARCHIPELAGO
56940,SOLOMON ISLANDS
57140,SANTA CRUZ ISLANDS
57160,VANUATU
57260,NEW CALEDONIA
57400,MALAYSIA
57431,THAILAND
57478,CAMBODIA
57510,VIETNAM
57740,CHINA
57805,MACAU
57815,CHINA
57835,HONG KONG
57855,CHINA
57880,TAIWAN
57940,PENG HU LIFH TAO
57960,PHILIPPINE ISLANDS
59850,CHINA CONTINUED
60270,NORTH KOREA
60315,SOUTH KOREA
60438,NORTH KOREA CONTINUED
60530,RUSSIA
60840,SAKHALIN
61070,KURIL ISLANDS
61100,JAPAN
62470,NANSEI SHOTO
62530,RUSSIA
63060,ANTARCTICA
